MAIN_RIV,DIS_AV_CMS
70283328,1747.406
70283328,1747.823
70386275,1021.61
70386275,1022.099
70283328,1748.438
70386275,1029.698
70386275,1030.029
70211926,1081.037
70386275,1030.343
70283328,1748.88
70211926,1075.612
70283328,1749.023
70283328,1749.288
70211926,1072.939
70211926,1063.62
70386275,1032.753
70386275,1033.353
70211926,1051.982
70283328,1771.662
70386275,1034.168
70386275,1034.438
70283328,1771.984
70211926,1051.364
70386275,1034.802
70283328,2604.115
70283328,2604.535
70386275,1045.537
70283328,2604.987
70386275,1048.627
70386275,1049.147
70211926,1047.967
70283328,2605.415
70283328,2605.666
70386275,1049.93
70386275,1052.571
70211926,1045.256
70211926,1044.954
70211926,1044.237
70283328,2605.893
70211926,1043.666
70283328,2607.416
70211926,1036.202
70386275,1054.66
70283328,2613.842
70386275,1064.864
70283328,2614.152
70386275,1065.396
70386275,1065.535
70283328,2615.004
70211926,1035.905
70386275,1066.338
70211926,1034.252
70283328,2615.453
70386275,1066.894
70283328,2618.35
70386275,1067.286
70386275,1067.571
70283328,2619.482
70211926,1033.132
70386275,1080.812
70386275,1081.126
70283328,2662.948
70386275,1081.624
70386275,1082.034
70283328,2663.494
70211926,1030.513
70283328,2667.596
70386275,1083.267
70283328,2669.497
70386275,1083.642
70283328,2671.258
70386275,1084.188
70211926,1029.442
70386275,1084.968
70283328,2673.419
70283328,2688.674
70283328,2696.855
70386275,1097.712
70283328,2698.51
70283328,2699.885
70386275,1100.269
70386275,1108.828
70283328,2701.984
70386275,1110.075
70283328,2702.476
70283328,2704.218
70386275,1111.451
70283328,2705.225
70283328,2714.048
70386275,1113.108
70386275,1114.108
70386275,1114.605
70283328,2717.24
70386275,1115.407
70386275,1115.762
70283328,2719.451
70386275,1116.249
70283328,2722.33
70283328,2723.418
70283328,2725.546
70386275,1117.421
70283328,2727.092
70283328,2728.001
70283328,2730.574
70386275,1118.959
70283328,2734.65
70283328,2735.966
70283328,2736.908
70283328,2739.861
70386275,1117.822
70283328,2743.996
70283328,2747.066
70283328,2748.406
70386275,1119.412
70386275,1119.024
70386275,1119.668
70283328,2752.331
70386275,1120.006
70283328,2776.552
70386275,1120.681
70283328,2779.431
70283328,2804.809
70283328,2803.179
70283328,2808.353
70283328,2806.232
70386275,1122.295
70386275,1122.719
70283328,2811.647
70386275,1124.679
70386275,1124.967
70386275,1126.94
70283328,2816.652
70386275,1131.213
70283328,2817.652
70283328,2819.376
70283328,2826.487
70386275,1136.295
70386275,1978.656
70386275,1979.906
70283328,2835.886
70283328,2839.207
70386275,1981.991
70283328,3571.762
70283328,3570.281
70283328,3567.55
70283328,2871.388
70283328,2864.269
70386275,1985.166
70283328,3577.894
70283328,3566.136
70283328,2857.257
70283328,2844.306
70283328,3450.93
70283328,2854.909
70283328,2849.283
70386275,1987.19
70283328,3579.343
70283328,2851.614
70283328,3440.412
70283328,3190.493
70283328,3429.621
70283328,3414.146
70283328,3200.031
70386275,1988.936
70283328,3391.603
70283328,3410.725
70283328,3402.354
70283328,3400.329
70283328,3396.773
70283328,3392.961
70283328,3390.608
70283328,3592.106
70283328,3588.844
70283328,3205.282
70386275,1990.575
70283328,3331.852
70283328,3212.694
70283328,3287.269
70283328,3298.722
70283328,3327.874
70283328,3304.345
70283328,3302.633
70283328,3313.051
70386275,1992.904
70283328,3323.248
70283328,3318.252
70283328,3315.536
70386275,1993.856
70386275,1995.044
70386275,1996.813
70386275,1998.767
70386275,2000.715
70386275,2001.135
70386275,2006.694
70386275,2008.517
70386275,2008.829
70386275,2860.105
70386275,2860.521
70386275,2860.77
70386275,2861.386
70386275,2867.498
70386275,2874.228
70386275,2874.634
70386275,2876.247
70386275,2876.487
70386275,2877.534
70386275,2877.151
70386275,2877.198
70386275,2876.792
70386275,2876.623
70386275,2876.68
70386275,2916.3
70318765,1133.21
70318765,1445.561
70318765,1447.177
70318765,1473.539
70318765,1475.174
70318765,1534.432
70318765,1550.355
70318765,1550.908
70318765,1553.738
70318765,1554.738
70318765,1552.179
70386275,2915.863
70386275,2916.487
70386275,2932.535
70318765,1561.283
70318765,1565.095
70318765,1566.432
70318765,1565.807
70318765,1567.932
70318765,1569.968
70386275,2932.226
70318765,1569.613
70318765,1569.597
70318765,1569.634
70318765,1569.796
70386275,2931.931
70318765,1568.324
70318765,1568.34
70318765,1577.374
70386275,2931.672
70318765,1630.327
70318765,1631.394
70318765,1632.726
70318765,1728.22
70318765,1746.296
70318765,1576.23
70318765,1576.965
70318765,1632.965
70318765,1632.991
70318765,1725.659
70318765,1748.533
70318765,1749.54
70318765,1631.604
70318765,1718.205
70318765,1725.57
70386275,2931.317
70318765,1750.643
70386275,2931.385
70318765,1751.085
70318765,1752.304
70318765,1751.647
70318765,1751.966
70318765,1752.539
70386275,2931.002
70318765,1754.973
70318765,1790.453
70318765,1791.31
70318765,1792.073
70318765,1786.737
70318765,1787.134
70318765,1788.72
70318765,1789.969
70318765,1792.917
70318765,1793.504
70318765,1794.109
70318765,1795.036
70318765,1795.505
70386275,2930.599
70318765,1796.02
70318765,1796.552
70318765,1801.166
70318765,1801.593
70386275,2930.17
70386275,2931.176
70318765,1802.835
70386275,2931.667
